Name,Author,User Rating,Reviews,Genre,Price,Year
eww,www,2.9,3,w,1,2009
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,Non Fiction,17,2009
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,Non Fiction,5,2009
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,Fiction,13,2009
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,Non Fiction,14,2009
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,Fiction,4,2009
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,Fiction,15,2009
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,Non Fiction,6,2009
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,Fiction,12,2009
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,Non Fiction,1,2009
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,Non Fiction,14,2009
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,Fiction,7,2009
Eclipse (Twilight),Stephenie Meyer,4.7,5505,Fiction,18,2009
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,Non Fiction,11,2009
Going Rogue: An American Life,Sarah Palin,4.6,1636,Non Fiction,6,2009
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2009
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,Non Fiction,4,2009
"I, Alex Cross",James Patterson,4.6,1320,Fiction,7,2009
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,Non Fiction,15,2009
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,Non Fiction,27,2009
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,Fiction,10,2009
Olive Kitteridge,Elizabeth Strout,4.2,4519,Fiction,12,2009
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,Non Fiction,20,2009
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2009
Sookie Stackhouse,Charlaine Harris,4.7,973,Fiction,25,2009
StrengthsFinder 2.0,Gallup,4.0,5069,Non Fiction,17,2009
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,Non Fiction,18,2009
The 5000 Year Leap,W. Cleon Skousen,4.8,1680,Non Fiction,12,2009
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,Non Fiction,24,2009
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,Non Fiction,53,2009
The Elegance of the Hedgehog,Muriel Barbery,4.0,1859,Fiction,11,2009
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,Non Fiction,6,2009
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,Non Fiction,9,2009
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,Fiction,16,2009
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,Fiction,2,2009
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,Fiction,10,2009
The Help,Kathryn Stockett,4.8,13871,Fiction,6,2009
The Last Lecture,Randy Pausch,4.7,4028,Non Fiction,9,2009
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,Fiction,7,2009
The Lost Symbol,Dan Brown,4.2,8747,Fiction,19,2009
The Love Dare,Stephen Kendrick,4.8,1655,Non Fiction,13,2009
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,Fiction,8,2009
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,Fiction,6,2009
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,Non Fiction,9,2009
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,Fiction,82,2009
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,Non Fiction,11,2009
True Compass: A Memoir,Edward M. Kennedy,4.5,438,Non Fiction,15,2009
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,Fiction,9,2009
Under the Dome: A Novel,Stephen King,4.3,6740,Fiction,20,2009
Watchmen,Alan Moore,4.8,3829,Fiction,42,2009
Where the Wild Things Are,Maurice Sendak,4.8,9967,Fiction,13,2009
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,Non Fiction,2,2010
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,Non Fiction,14,2010
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,Non Fiction,21,2010
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,Non Fiction,8,2010
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,Fiction,11,2010
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,Non Fiction,14,2010
Cutting for Stone,Abraham Verghese,4.6,4866,Fiction,11,2010
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,Fiction,8,2010
Decision Points,George W. Bush,4.6,2137,Non Fiction,17,2010
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,Non Fiction,15,2010
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,Non Fiction,16,2010
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,Non Fiction,9,2010
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,Non Fiction,9,2010
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,Non Fiction,20,2010
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2010
Life,Keith Richards,4.5,2752,Non Fiction,18,2010
Little Bee: A Novel,Chris Cleave,4.1,1467,Fiction,10,2010
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,Fiction,8,2010
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,Non Fiction,20,2010
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,Fiction,2,2010
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2010
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,Non Fiction,9,2010
Sarah's Key,Tatiana de Rosnay,4.6,3619,Fiction,10,2010
Sh*t My Dad Says,Justin Halpern,4.7,1265,Non Fiction,11,2010
StrengthsFinder 2.0,Gallup,4.0,5069,Non Fiction,17,2010
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,Non Fiction,13,2010
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,Non Fiction,20,2010
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,Non Fiction,28,2010
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,Fiction,10,2010
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,Non Fiction,17,2010
The Confession: A Novel,John Grisham,4.3,3523,Fiction,13,2010
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,Non Fiction,11,2010
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,Non Fiction,6,2010
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,Fiction,14,2010
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,Fiction,9,2010
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,Fiction,2,2010
The Help,Kathryn Stockett,4.8,13871,Fiction,6,2010
The Hunger Games,Suzanne Collins,4.7,32122,Fiction,14,2010
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,Non Fiction,13,2010
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,Fiction,7,2010
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,Fiction,14,2010
The Official SAT Study Guide,The College Board,4.4,1201,Non Fiction,40,2010
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,Fiction,12,2010
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,Non Fiction,14,2010
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,Fiction,0,2010
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,Fiction,12,2010
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,Non Fiction,11,2010
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,Fiction,21,2010
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,Non Fiction,16,2010
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,Non Fiction,11,2010
11/22/63: A Novel,Stephen King,4.6,2052,Fiction,22,2011
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,Fiction,11,2011
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,Non Fiction,32,2011
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,Fiction,0,2011
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,Fiction,11,2011
